image_link,description,subcategory_title,category_title
https://kamondb.com/wp/wp-content/uploads/2019/09/9-1.gif,徳川葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/2-1.gif,剣三つ葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/3.gif,立ち葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/4.gif,丸に立ち葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/5.gif,水に立ち葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/6.gif,剣に二つ葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/7.gif,二葉葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/8.gif,丸に左離れ立ち葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/1.gif,尻合わせ三つ葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/10.gif,左離れ立ち葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/11.gif,蔓三つ葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/12.gif,三つ割り葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/13.gif,二つ蔓葵の丸,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/14.gif,三つ蔓葵の丸,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/15.gif,変わり蔓三つ葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/16-1.gif,総陰丸に三つ葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/17.gif,中陰丸に三つ葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/18.gif,花付き三つ割り葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon006.jpg,蔓葵片喰,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon002.jpg,陰尻合わせ三つ葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon003.jpg,花付き割り葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon004.jpg,中陰尻合わせ三つ葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon005.jpg,入れ違い割り葵,葵 | あおい,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/1-1.gif,麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/2-2.gif,丸に麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/3-1.gif,陰麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/4-1.gif,三つ割り麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/5-1.gif,外三つ割り麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon001.jpg,麻の葉車,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon002-1.jpg,真麻崩し,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon003-1.jpg,陰陽麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon004-1.jpg,丸に麻の葉桐,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon005-1.jpg,向こう真麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon007.jpg,細麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon008.jpg,丸に真麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon009.jpg,麻の花,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon010.jpg,三つ麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon011.jpg,麻の葉桔梗,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon012.jpg,糸輪に豆麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon006-1.jpg,雪輪に麻の葉,麻｜あさ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/1-2.gif,中輪に一つ朝顔,朝顔｜あさがお,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/2-3.gif,五つ朝顔,朝顔｜あさがお,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon001-1.jpg,細輪に六つ朝顔,朝顔｜あさがお,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon002-2.jpg,朝顔枝丸,朝顔｜あさがお,plant
https://kamondb.com/wp/wp-content/uploads/2019/10/1-1.gif,違い葦の葉,葦｜あし,plant
https://kamondb.com/wp/wp-content/uploads/2019/10/2-1.gif,割り抱き葦,葦｜あし,plant
https://kamondb.com/wp/wp-content/uploads/2019/10/3-1.gif,抱き葦,葦｜あし,plant
https://kamondb.com/wp/wp-content/uploads/2019/10/4-1.gif,変わり抱き葦,葦｜あし,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/1-3.gif,丸に菖蒲革,菖蒲｜あやめ,plant
https://kamondb.com/wp/wp-content/uploads/2019/09/2-4.gif,糸輪に菖蒲革,菖蒲｜あやめ,plant
https://kamondb.com/wp/wp-content/uploads/2019/10/1-2.gif,いたどり,虎杖｜いたどり,plant
https://kamondb.com/wp/wp-content/uploads/2019/10/2-2.gif,三つ銀杏,銀杏｜いちょう,plant
https://kamondb.com/wp/wp-content/uploads/2019/10/1-3.gif,中輪に三つ銀杏,銀杏｜いちょう,plant
https://kamondb.com/wp/wp-content/uploads/2019/10/3-2.gif,中輪に一つ銀杏,銀杏｜いちょう,plant
